Perceptron Bipolarny;
Perceptron Unipolarny - nie nauczono;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B174:M174);
0.8;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B175:M175);
0.7;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B176:M176);
0.6;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B177:M177);
0.5;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B178:M178);
0.4;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B179:M179);
0.3;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B180:M180);
0.25;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B181:M181);
0.2;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B182:M182);
0.15;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B183:M183);
0.1;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B184:M184);
0.05;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B185:M185);
0.04;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B186:M186);
0.03;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B187:M187);
0.02;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B188:M188);
0.01;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B189:M189);
Srednia:;=ŒREDNIA(B174:B189);=ŒREDNIA(C174:C189);=ŒREDNIA(D174:D189);=ŒREDNIA(E174:E189);=ŒREDNIA(F174:F189);=ŒREDNIA(G174:G189);=ŒREDNIA(H174:H189);=ŒREDNIA(I174:I189);=ŒREDNIA(J174:J189);=ŒREDNIA(K174:K189);=ŒREDNIA(L174:L189);=ŒREDNIA(M174:M189);=ŒREDNIA(N174:N189);
Perceptron Adaline Bipolarny - nie nauczono;
ucz/max;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.01;Œrednia:;
0.9;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B193:M193);
0.8;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B194:M194);
0.7;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B195:M195);
0.6;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B196:M196);
0.5;0;0;0;0;0;0;0;0;0;0;0;0;=ŒREDNIA(B197:M197);
